                    .;10/2024-09/2025;10/2025-09/2026;Minimum 10/2018-09/2021;Maximum 10/2018-09/2021
15.05.;36,68;;27,09;81,43
16.05.;36,87;;27,36;81,68
17.05.;37,20;;27,48;82,03
18.05.;37,47;;27,55;82,27
19.05.;37,64;;27,65;82,43
20.05.;37,82;;27,92;82,62
21.05.;37,73;;28,28;82,93
22.05.;37,86;;28,57;83,34
23.05.;37,93;;28,88;83,69
24.05.;38,12;;29,17;83,97
25.05.;38,45;;29,26;84,24
26.05.;38,65;;29,37;84,39
27.05.;38,83;;29,39;84,39
28.05.;39,04;;29,53;84,34
29.05.;39,36;;29,89;84,39
30.05.;39,75;;30,32;84,64
31.05.;40,26;;30,69;84,87
01.06.;41,12;;31,12;85,14
02.06.;41,38;;31,66;85,28
03.06.;41,61;;32,15;85,41
04.06.;41,93;;32,61;85,53
05.06.;42,08;;33,16;85,60
06.06.;42,44;;33,69;85,80
07.06.;42,91;;34,02;86,00
08.06.;43,34;;34,30;85,78
09.06.;43,72;;34,45;85,83
10.06.;44,06;;34,70;85,82
11.06.;44,34;;34,98;85,95
12.06.;44,62;;35,40;86,13
13.06.;44,90;;35,84;86,41
14.06.;45,36;;36,18;86,74
15.06.;45,80;;36,39;86,91
16.06.;46,06;;36,63;87,00
17.06.;46,31;;36,96;87,06
18.06.;46,59;;37,34;87,13
19.06.;46,92;;37,83;87,23
20.06.;47,23;;38,28;87,47
21.06.;47,70;;38,67;87,75
22.06.;48,18;;38,85;87,84
23.06.;48,50;;39,06;87,94
24.06.;48,82;;39,27;88,01
25.06.;48,98;;39,53;88,10
26.06.;49,04;;39,92;88,22
27.06.;49,46;;40,36;88,44
28.06.;49,87;;40,67;88,66
29.06.;50,34;;40,99;88,77
30.06.;50,66;;41,27;88,92
01.07.;50,94;;41,61;89,02
02.07.;51,30;;41,86;89,05
03.07.;51,56;;42,35;89,32
04.07.;51,87;;42,80;89,65
05.07.;52,30;;43,20;89,91
06.07.;52,68;;43,45;90,02
07.07.;52,93;;43,61;89,99
08.07.;54,78;;43,76;89,97
09.07.;53,54;;44,04;89,88
10.07.;54,02;;44,46;89,94
11.07.;54,37;;44,87;90,07
12.07.;54,93;;45,16;90,28
13.07.;55,37;;45,20;90,41
14.07.;55,61;;45,21;90,34
15.07.;55,84;;45,40;90,19
16.07.;56,10;;45,64;90,04
17.07.;56,29;;45,86;89,91
18.07.;56,55;;46,08;89,83
19.07.;57,00;;46,23;89,78
20.07.;57,44;;46,34;89,63
21.07.;57,70;;46,39;89,40
22.07.;57,95;;46,40;89,08
23.07.;58,20;;46,75;88,87
24.07.;58,36;;47,23;88,70
25.07.;58,60;;47,62;88,58
26.07.;59,00;;47,95;88,79
27.07.;59,45;;48,33;88,85
28.07.;59,85;;48,73;88,92
29.07.;60,18;;49,10;89,02
30.07.;60,56;;49,43;89,04
31.07.;60,80;;49,79;89,11
01.08.;61,02;;50,18;89,33
02.08.;61,60;;50,54;89,55
03.08.;62,07;;50,80;89,67
04.08.;62,46;;51,10;89,76
05.08.;62,90;;51,39;89,92
06.08.;63,26;;51,85;89,88
07.08.;63,59;;52,21;90,19
08.08.;63,93;;52,56;90,44
09.08.;64,22;;52,82;90,67
10.08.;64,68;;53,07;90,80
11.08.;65,04;;53,30;91,20
12.08.;65,18;;53,48;91,48
